"","CombinationLabel","Sub","Category","Avg_V4_dis_L2","Avg_V2_dis_L2","Avg_V1_dis_L2","Avg_IT_dis_L2","Avg_V4_dis_Cosine","Avg_V2_dis_Cosine","Avg_V1_dis_Cosine","Avg_IT_dis_Cosine","Avg_CHOICERIGHT","Avg_Accuracy","Avg_PWDis","Avg_SL_Dis","Avg_SP_Dis","Avg_AE_Dis","Avg_AR_Dis","Avg_Sym_Dis","Avg_Symbol_Dis","Avg_FSymbol_Dis","Avg_HU_Dis"
"1","decagon-decagon-heptagon","Kalamata","REGULAR",-2.90194299999992,-2.31073999999993,-2.95465999999998,-20.7495379999998,-0.0265475500000011,-0.00592924999999999,-0.0045038999999998,-0.209184999999995,0.183022275737508,0.816977724262492,-0.00319027518564346,-43,-5,-44,0,-7,-92,-99,20.2502724824774
"2","decagon-decagon-heptagon","Olivella","REGULAR",-2.90194300000001,-2.31074,-2.95465999999996,-20.749538,-0.0265475500000001,-0.00592924999999993,-0.00450390000000001,-0.209185000000001,0.0932203389830508,0.906779661016949,-0.00319027518564347,-43,-5,-44,0,-7,-92,-99,20.2502724824778
"3","decagon-decagon-heptagon","Pico","REGULAR",-2.90194299999998,-2.31074000000001,-2.95465999999999,-20.749538,-0.0265475500000001,-0.00592924999999994,-0.00450390000000001,-0.209185,0.318051575931232,0.681948424068768,-0.00319027518564349,-43,-5,-44,0,-7,-92,-99,20.2502724824779
"4","decagon-decagon-heptagon","Sabina","REGULAR",-2.901943,-2.31074000000001,-2.95465999999999,-20.749538,-0.0265475500000001,-0.00592924999999999,-0.00450390000000001,-0.209185,0.162921348314607,0.837078651685393,-0.00319027518564348,-43,-5,-44,0,-7,-92,-99,20.2502724824777
"5","decagon-decagon-heptagon","beyonce","REGULAR",-2.90194300000001,-2.31073999999999,-2.95465999999995,-20.749538,-0.0265475500000001,-0.00592924999999992,-0.00450390000000001,-0.209185000000002,0.116541353383459,0.883458646616541,-0.00319027518564346,-43,-5,-44,0,-7,-92,-99,20.2502724824777
"6","decagon-decagon-heptagon","coltrane","REGULAR",-2.901943,-2.31074000000001,-2.95465999999999,-20.749538,-0.0265475500000001,-0.00592925,-0.00450390000000001,-0.209185,0.533333333333333,0.466666666666667,-0.00319027518564349,-43,-5,-44,0,-7,-92,-99,20.2502724824778
"7","decagon-decagon-heptagon","gaga","REGULAR",-2.90194299999999,-2.31074000000001,-2.95465999999998,-20.749538,-0.0265475500000001,-0.00592924999999993,-0.00450390000000001,-0.209185000000001,0.315521628498728,0.684478371501272,-0.00319027518564348,-43,-5,-44,0,-7,-92,-99,20.2502724824779
"8","decagon-decagon-heptagon","rihanna","REGULAR",-2.90194299999999,-2.31074000000001,-2.95465999999998,-20.749538,-0.0265475500000001,-0.00592924999999993,-0.00450390000000001,-0.209185,0.172323759791123,0.827676240208877,-0.00319027518564348,-43,-5,-44,0,-7,-92,-99,20.2502724824779
"9","decagon-decagon-hexagon","Kalamata","REGULAR",-1.55223800000003,-4.44021499999987,-3.56156000000008,-16.7732849999996,-0.0100574000000004,-0.0169658999999997,-0.00652885000000031,-0.159885730000006,0.163265306122449,0.836734693877551,-0.00190391495143061,-41,-5,-43,0,-7,-89,-96,15.1460749844691
"10","decagon-decagon-hexagon","Olivella","REGULAR",-1.55223799999999,-4.44021500000004,-3.56156000000003,-16.7732850000002,-0.0100574,-0.0169658999999998,-0.00652885000000003,-0.159885729999999,0.164859002169197,0.835140997830803,-0.00190391495143061,-41,-5,-43,0,-7,-89,-96,15.1460749844691
